id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39665073,Cozy bedroom close to the centre,75185848,Christer,,Gamle Oslo,59.90411,10.77344,Private room,1000,4,0,,,1,83,0,
39686954,Top floor Central studio apartment with a view!,87681612,Marius,,Gamle Oslo,59.90674,10.78239,Entire home/apt,1200,1,1,2021-09-09,1,1,305,1,
39739715,Spacious apartment close to city center,28060160,Lars,,Sagene,59.93234,10.75996,Entire home/apt,1250,2,2,2021-08-07,0.09,1,88,1,
39742192,Beste Frogner,305456953,Jeppe,,Frogner,59.91641,10.69983,Entire home/apt,700,30,2,2020-12-08,0.17,1,30,2,
39750671,Central and quiet near Downtown Frognerpark Bygdø,41088976,Halvor,,Frogner,59.916836,10.702161,Entire home/apt,765,2,5,2021-09-27,5,1,51,5,
39773170,Exclusive apartment in the center of Oslo,65598838,Celine,,Frogner,59.92769,10.72492,Entire home/apt,619,4,4,2019-12-29,0.19,1,0,0,
39798506,Spacious and light 1-bedroom flat in Sagene,17290626,Hanne,,Sagene,59.94129,10.75851,Entire home/apt,1500,1,4,2020-03-04,0.20,1,0,1,
39807915,Nøkken room in the Heart of Oslo!3 min from castle,303605173,Wilhelm,,Frogner,59.9153,10.72639,Private room,645,3,13,2021-09-01,0.60,8,321,7,
39833606,Uniqe Villa in Oslo center. Private garden Sauna,25399934,Julian Nazario,,Grünerløkka,59.92038,10.75073,Entire home/apt,3000,2,1,2019-12-09,0.05,3,0,0,
39833709,Modern apartment centrally located at Grunerløkka,3644486,Martin,,Grünerløkka,59.91804,10.75943,Private room,500,3,8,2019-12-23,0.37,1,148,0,
39838532,"Cozy apartment in Grünerløkka, near city center",42451632,Amanda,,Grünerløkka,59.92109,10.76096,Entire home/apt,800,2,9,2021-07-31,0.42,1,0,6,
39864383,Bedroom in shared apartment,77761611,Vegard Andreas,,Gamle Oslo,59.90863,10.79246,Private room,400,2,17,2020-01-12,0.86,1,148,0,
39970489,Cosy apartment with best location for 2 people,39905904,Dorota,,Sentrum,59.9121,10.74336,Entire home/apt,1100,4,0,,,1,67,0,
39988745,Koselig leilighet i populært strøk,11038027,Jeanett,,Sagene,59.93805,10.7513,Entire home/apt,550,3,0,,,1,44,0,
40006114,Privat leilighet i hjertet av Grünerløkka,19949870,Maja,,Grünerløkka,59.92145,10.76338,Entire home/apt,920,2,1,2020-07-29,0.07,1,0,0,
40008152,Strøken leilighet på Bislett,47916163,Lene,,St. Hanshaugen,59.93089,10.73196,Entire home/apt,900,3,0,,,1,0,0,
40024177,"Supersentral, fin og romslig leilighet i sentrum",146898986,Halvor,,St. Hanshaugen,59.92047,10.74037,Entire home/apt,1000,2,4,2021-09-20,4,1,51,4,
40047406,Cosy Room in Central Oslo,57353752,Ole-Kristian,,Sagene,59.93447,10.7628,Private room,1000,100,2,2021-01-01,0.10,1,90,1,
40049136,Pleasant room westside,35906857,Kristian,,Frogner,59.93302,10.72085,Private room,380,3,11,2020-01-24,0.49,1,28,5,
40060342,⭐️Feel home in seaside super flat+close to all⭐️,174434186,Nasrin,,Gamle Oslo,59.90348,10.75596,Entire home/apt,830,2,12,2020-05-18,0.59,1,0,1,
40080855,"Seaside Apt-Close Central St, Barcode & Operahouse",52385768,Eli,,Gamle Oslo,59.90265,10.75595,Entire home/apt,900,14,4,2020-03-11,0.20,1,277,0,
40090230,"Beautiful and cozy, central Oslo II",1221776,Rannveig & Johan,,Sagene,59.93595,10.75614,Entire home/apt,999,3,3,2021-07-07,0.27,2,273,3,
40091050,Studio Apt w/All You Need in Oslo's Best West End,241695809,Justine,,Frogner,59.91664,10.7089,Entire home/apt,650,2,34,2021-09-06,1.87,1,324,23,
40170376,"Cosy flat near forest/lake, 20 min to the centre.",30359975,Zan,,Østensjø,59.88076,10.84381,Entire home/apt,400,5,0,,,1,76,0,
40188246,Modern 47 square meter apt. with private balcony!,61289268,Asbjørn,,Gamle Oslo,59.91753,10.78732,Entire home/apt,800,2,15,2020-01-26,0.96,2,6,4,
40191422,A romantic hideaway in a modern apartment,307633758,Maalfrid & Tom,,Grünerløkka,59.92911,10.78702,Entire home/apt,690,4,25,2020-02-17,1.28,1,278,11,
40228257,Fantastic location and high standard with balcony!,785104,Anders,,Frogner,59.9314,10.71386,Entire home/apt,790,5,1,2021-08-01,0.49,3,0,1,
40255757,OSLO – BARCODE – VERY CENTRAL APARTMENT,97216562,Amid,,Gamle Oslo,59.90591,10.76014,Entire home/apt,900,3,116,2020-11-01,5.47,1,150,53,
40260340,"Centralt läge, gångavstånd till City.",79203458,Dick,,Gamle Oslo,59.91059,10.77277,Entire home/apt,795,2,21,2020-03-02,1.47,1,64,11,
40275658,"Location! Quiet, private flat in centrum (balcony)",78679131,Bendik,,Grünerløkka,59.92111,10.77231,Entire home/apt,500,4,5,2020-06-21,0.23,2,0,0,
40299994,Spacious and central apartment on Sagene!,311337308,Eli,,Sagene,59.93734,10.76101,Entire home/apt,1200,2,14,2020-01-24,0.63,1,161,3,
40318685,Central and cozy apartment in old town,22731968,Torbjørn,,Gamle Oslo,59.90878,10.76882,Entire home/apt,650,30,17,2021-07-05,0.87,1,0,12,
40320281,Nice 60m2 flat in centrum.,311568411,Muhammed,,St. Hanshaugen,59.92028,10.73835,Entire home/apt,592,14,0,,,1,364,0,
40325814,"Nice rom in Oslo, 2",15060706,Carina,,Søndre Nordstrand,59.84083,10.79747,Private room,450,2,0,,,2,58,0,
40346610,"Beautiful view, for active and quiet guests",126056115,Kjersti,,Vestre Aker,59.97049,10.64315,Private room,777,1,0,,,1,89,0,
40381155,"Trendy Grünerløkka large flat, with sunny balcony.",7659877,Francisca,,Grünerløkka,59.92885,10.7648,Entire home/apt,799,1,15,2020-08-01,0.98,1,9,9,
40410152,Urban Apartments Grünerløkka Spacious Studio,233933220,Urban,,Grünerløkka,59.92301,10.76056,Entire home/apt,863,3,6,2020-03-31,0.28,74,343,0,
40414954,Urban Apartments Grünerløkka Spacious Studio,233933220,Urban,,Grünerløkka,59.92342,10.76032,Entire home/apt,863,3,10,2021-09-04,0.77,74,324,6,
40416610,Urban Apartments Grünerløkka Spacious Studio,233933220,Urban,,Grünerløkka,59.92293,10.76141,Entire home/apt,863,3,22,2021-09-24,1.63,74,322,19,
40417228,Urban Apartments Grünerløkka Loft/Topfloor,233933220,Urban,,Grünerløkka,59.92298,10.76198,Entire home/apt,1456,3,14,2019-12-10,0.95,74,323,10,
40418162,Urban Apartments Grünerløkka Loft / Top floor,233933220,Urban,,Grünerløkka,59.92448,10.76212,Entire home/apt,1356,3,16,2021-09-18,0.92,74,330,10,
40418658,Artistic and classic Oslo-flat,23383920,Ingrid,,Grünerløkka,59.91656,10.76777,Entire home/apt,1000,70,0,,,1,9,0,
40423401,Cozy apartment in the city center,233596457,Håkon,,Sentrum,59.91,10.74723,Entire home/apt,800,4,14,2020-08-03,0.68,1,28,3,
40424566,"Spacious,  quiet and super central (!) apartment",249620532,Gro,,St. Hanshaugen,59.91644,10.75452,Entire home/apt,779,3,22,2021-09-20,1.06,1,2,5,
40424686,"Classy, modern, bright aptm at the heart of Oslo",70493592,Ingvill,,Frogner,59.92318,10.72385,Entire home/apt,950,5,9,2020-10-19,0.75,1,135,5,
40437519,New designer apartment with central location,17660110,Ina,,Grünerløkka,59.92947,10.79286,Entire home/apt,1500,2,3,2021-07-26,0.23,1,177,2,
40446066,Modern top floor flat - Roof terrace - Garage,62760403,Joachim,,Grünerløkka,59.92406,10.75982,Entire home/apt,1350,2,36,2021-09-18,1.63,1,142,18,
40476280,"Cozy Apartment in lovely Sagene, Central Oslo",83772124,Rasmus,,Sagene,59.93678,10.76014,Entire home/apt,611,2,1,2020-01-02,0.05,1,0,0,
40504110,Quiet and nice apartment next to metro station,197905115,Sigmund,,Gamle Oslo,59.91645,10.77316,Entire home/apt,647,4,30,2020-12-30,1.45,1,0,11,
40522202,Idyllisk leilighet i hjerte av Majorstuen,91541616,Thea,,Frogner,59.93052,10.72193,Entire home/apt,800,5,1,2021-02-27,0.14,1,87,1,
40545549,In the middle of everything in Oslo,7143174,Kirsten,,Grünerløkka,59.92603,10.75231,Entire home/apt,900,6,2,2021-07-21,0.10,1,25,1,
40545675,"High end 104sqm apartment, garage,  elevator",314084036,Jan,,Frogner,59.92569,10.71615,Entire home/apt,2000,4,0,,,1,89,0,
40557303,Lovely 3BD close to Royal Palace and train station,314182592,Franco And Hilde,,Frogner,59.91477,10.72621,Entire home/apt,5000,1,12,2020-03-09,0.62,1,28,0,
40577707,Beautiful 1-bedroom apt. trendy Sagene in Oslo,25946480,Una Isabelle,,Sagene,59.93378,10.75179,Entire home/apt,383,7,3,2021-03-21,0.42,1,0,2,
40673923,City center modern new 2BD apt.,315556607,Hilde Og Eivind,,Gamle Oslo,59.90593,10.76013,Entire home/apt,1890,1,0,,,1,91,0,
40687870,Urban Apartments Grünerløkka Spacious Studio,233933220,Urban,,Grünerløkka,59.92335,10.76209,Entire home/apt,863,3,7,2021-09-28,0.45,74,297,4,
40701402,Hasle House,116285869,Daniel,,Grünerløkka,59.92383,10.78899,Private room,800,2,0,,,1,81,0,
40716297,Moderne leilighet i klassisk stil,131955813,Anne,,Sagene,59.93432,10.76642,Entire home/apt,800,2,16,2021-08-06,0.75,1,0,7,
40722473,"Winter Deal,   Urban Top floor / Two Story Loft apartment with 4 beds",233933220,Urban,,Grünerløkka,59.92309,10.76181,Entire home/apt,1992,3,8,2021-05-03,0.41,74,321,3,
40750439,"City center, 2bedrooms apart pg31 near everithing",20437055,Maurizio,,Gamle Oslo,59.9103,10.76372,Entire home/apt,2000,1,1,2021-07-23,0.43,14,179,1,
40757651,Nice and compact room at an excellent location,10530973,Håvard Skulstad,,Ullern,59.92563,10.67462,Private room,459,1,2,2021-08-04,0.88,7,283,2,
